0,10.48
2,10.57
3.68,10.65
4,10.66
6,10.75
8,10.84
10,10.92
12,11
14,11.08
16,11.16
18,11.24
20,11.32
22,11.4
24,11.47
26,11.55
28,11.63
30,11.7
32,11.78
34,11.85
36,11.93
38,12
40,12.08
42,12.16
44,12.23
46,12.31
48,12.39
50,12.47
55,12.68
60,12.89
65,13.12
70,13.36
75,13.61
80,13.89
85,14.18
90,14.49
95,14.83
100,15.2
